id,path,fake,real
mixed_3191,/home/tdl/deepvoice/CQT_test_nocan/mixed_3191.ogg,1,1
mixed_22490,/home/tdl/deepvoice/CQT_test_nocan/mixed_22490.ogg,1,1
mixed_25438,/home/tdl/deepvoice/CQT_test_nocan/mixed_25438.ogg,1,1
RVNSIWKT,/home/tdl/deepvoice/CQT_test_nocan/RVNSIWKT.ogg,1,0
QMOVRIRC,/home/tdl/deepvoice/CQT_test_nocan/QMOVRIRC.ogg,0,1
FVGFPGIJ,/home/tdl/deepvoice/CQT_test_nocan/FVGFPGIJ.ogg,0,1
mixed_19781,/home/tdl/deepvoice/CQT_test_nocan/mixed_19781.ogg,1,1
UKWSOGPA,/home/tdl/deepvoice/CQT_test_nocan/UKWSOGPA.ogg,0,1
USFEWCFR,/home/tdl/deepvoice/CQT_test_nocan/USFEWCFR.ogg,1,0
mixed_6284,/home/tdl/deepvoice/CQT_test_nocan/mixed_6284.ogg,1,1
RWDSAETM,/home/tdl/deepvoice/CQT_test_nocan/RWDSAETM.ogg,0,1
mixed_5580,/home/tdl/deepvoice/CQT_test_nocan/mixed_5580.ogg,1,1
mixed_13986,/home/tdl/deepvoice/CQT_test_nocan/mixed_13986.ogg,1,1
XZAOQFHN,/home/tdl/deepvoice/CQT_test_nocan/XZAOQFHN.ogg,1,0
CKNZOZAK,/home/tdl/deepvoice/CQT_test_nocan/CKNZOZAK.ogg,1,0
QZKUOZLA,/home/tdl/deepvoice/CQT_test_nocan/QZKUOZLA.ogg,1,0
mixed_16542,/home/tdl/deepvoice/CQT_test_nocan/mixed_16542.ogg,1,1
mixed_7135,/home/tdl/deepvoice/CQT_test_nocan/mixed_7135.ogg,1,1
SHRNXSYL,/home/tdl/deepvoice/CQT_test_nocan/SHRNXSYL.ogg,0,1
mixed_12854,/home/tdl/deepvoice/CQT_test_nocan/mixed_12854.ogg,1,1
IYDLKVXV,/home/tdl/deepvoice/CQT_test_nocan/IYDLKVXV.ogg,0,1
ZGBHMOQF,/home/tdl/deepvoice/CQT_test_nocan/ZGBHMOQF.ogg,1,0
SNIMWUZM,/home/tdl/deepvoice/CQT_test_nocan/SNIMWUZM.ogg,1,0
mixed_18594,/home/tdl/deepvoice/CQT_test_nocan/mixed_18594.ogg,1,1
KQAGIXJX,/home/tdl/deepvoice/CQT_test_nocan/KQAGIXJX.ogg,0,1
mixed_9079,/home/tdl/deepvoice/CQT_test_nocan/mixed_9079.ogg,1,1
EXVQASSF,/home/tdl/deepvoice/CQT_test_nocan/EXVQASSF.ogg,0,1
AJMQPQNP,/home/tdl/deepvoice/CQT_test_nocan/AJMQPQNP.ogg,0,1
mixed_26159,/home/tdl/deepvoice/CQT_test_nocan/mixed_26159.ogg,1,1
AXMHWKFP,/home/tdl/deepvoice/CQT_test_nocan/AXMHWKFP.ogg,1,0
ZKBAGUVG,/home/tdl/deepvoice/CQT_test_nocan/ZKBAGUVG.ogg,1,0
mixed_23208,/home/tdl/deepvoice/CQT_test_nocan/mixed_23208.ogg,1,1
mixed_10568,/home/tdl/deepvoice/CQT_test_nocan/mixed_10568.ogg,1,1
AQKQWZJH,/home/tdl/deepvoice/CQT_test_nocan/AQKQWZJH.ogg,1,0
mixed_10864,/home/tdl/deepvoice/CQT_test_nocan/mixed_10864.ogg,1,1
NCYHKIOA,/home/tdl/deepvoice/CQT_test_nocan/NCYHKIOA.ogg,1,0
BUZUBZHQ,/home/tdl/deepvoice/CQT_test_nocan/BUZUBZHQ.ogg,1,0
CQVIZLBM,/home/tdl/deepvoice/CQT_test_nocan/CQVIZLBM.ogg,0,1
mixed_1534,/home/tdl/deepvoice/CQT_test_nocan/mixed_1534.ogg,1,1
JSMEITXA,/home/tdl/deepvoice/CQT_test_nocan/JSMEITXA.ogg,0,1
OCTJTRTF,/home/tdl/deepvoice/CQT_test_nocan/OCTJTRTF.ogg,1,0
GZVMRUSC,/home/tdl/deepvoice/CQT_test_nocan/GZVMRUSC.ogg,0,1
mixed_26241,/home/tdl/deepvoice/CQT_test_nocan/mixed_26241.ogg,1,1
PRKDNVJZ,/home/tdl/deepvoice/CQT_test_nocan/PRKDNVJZ.ogg,1,0
OSXRXIWW,/home/tdl/deepvoice/CQT_test_nocan/OSXRXIWW.ogg,0,1
FFSZMTHK,/home/tdl/deepvoice/CQT_test_nocan/FFSZMTHK.ogg,0,1
QRQQLLRT,/home/tdl/deepvoice/CQT_test_nocan/QRQQLLRT.ogg,0,1
mixed_14191,/home/tdl/deepvoice/CQT_test_nocan/mixed_14191.ogg,1,1
mixed_11176,/home/tdl/deepvoice/CQT_test_nocan/mixed_11176.ogg,1,1
BAVAEFYA,/home/tdl/deepvoice/CQT_test_nocan/BAVAEFYA.ogg,0,1
IRHCCMQG,/home/tdl/deepvoice/CQT_test_nocan/IRHCCMQG.ogg,0,1
HIACUVRK,/home/tdl/deepvoice/CQT_test_nocan/HIACUVRK.ogg,0,1
FOTOXBUG,/home/tdl/deepvoice/CQT_test_nocan/FOTOXBUG.ogg,0,1
IILOGAPB,/home/tdl/deepvoice/CQT_test_nocan/IILOGAPB.ogg,1,0
