id,max_voice_score
TEST_47315,0.9998343
TEST_44051,0.9999215
TEST_43880,0.99684685
TEST_22088,0.99997336
TEST_13543,0.9480493
TEST_38711,0.9999798
TEST_14813,0.99953616
TEST_49212,0.9994036
TEST_24700,0.9980262
TEST_02617,0.00036816858
TEST_05747,0.99975497
TEST_44114,0.5405563
TEST_26973,0.99970233
TEST_18769,0.99999964
TEST_19821,0.9999474
TEST_10697,0.99999017
TEST_08113,0.9986277
TEST_33888,0.99989235
TEST_26928,0.99816567
TEST_02534,0.99988735
TEST_02410,0.99992436
TEST_08865,0.9999891
TEST_47275,0.99972546
TEST_28777,0.9998917
TEST_42652,0.16755943
TEST_10919,0.99999666
TEST_10708,0.99990714
TEST_43250,5.369922e-07
TEST_38547,0.9997474
TEST_23185,0.9999744
TEST_29639,0.9999632
TEST_27125,0.9999635
TEST_24211,0.99992096
TEST_22499,0.19333346
TEST_43701,0.9998318
TEST_38699,0.9996979
TEST_43417,0.99998635
TEST_31205,0.99999183
TEST_14745,0.9997491
TEST_20063,0.9999933
TEST_13194,0.9999381
TEST_41105,0.9997534
TEST_04542,0.57312083
TEST_30507,1.240692e-06
TEST_33919,0.99998134
TEST_45123,0.99995494
TEST_11308,0.99996835
TEST_29825,0.9999709
TEST_48203,0.99992996
TEST_46896,0.9995741
TEST_35139,0.9989733
TEST_25364,0.9978722
TEST_27772,0.9999778
TEST_38391,0.003989579
TEST_18006,0.999719
TEST_11032,0.9999503
TEST_09194,0.99777246
TEST_22217,0.9999417
TEST_14439,0.9999692
TEST_26937,0.022210285
TEST_20803,0.99995965
TEST_07198,0.9990966
TEST_29034,0.9999614
TEST_10359,0.9999852
TEST_45880,0.3061149
TEST_05439,0.9778353
TEST_10590,0.9998322
TEST_07531,0.99840987
TEST_01798,0.9954899
TEST_35892,0.9999685
TEST_04664,0.99474335
TEST_46201,0.9998838
TEST_18009,0.9999392
TEST_14899,0.00013713568
TEST_22552,0.99996966
TEST_31844,0.99991906
TEST_15478,0.99797547
TEST_44531,0.99998474
TEST_08776,0.999992
TEST_19479,0.9997568
TEST_11278,0.99997914
TEST_04657,0.9999734
TEST_32167,0.99955934
TEST_13300,0.9837786
TEST_22662,0.00041755987
TEST_36065,0.99998844
TEST_20616,0.9998941
TEST_41489,0.99976087
TEST_20956,0.99864703
TEST_25049,0.003800008
TEST_45096,0.99978745
TEST_25131,0.9972436
TEST_07361,0.9999955
TEST_40033,0.99999076
TEST_16907,0.9963699
TEST_16865,0.99928343
TEST_25276,0.9999243
TEST_06148,0.99964356
TEST_38045,0.99992007
TEST_34531,0.9997359
TEST_49142,0.99822235
TEST_35472,0.9830723
TEST_28480,0.99998796
TEST_04087,0.99999875
TEST_41652,8.6770706e-07
TEST_09058,0.99985427
TEST_45757,0.8405536
TEST_27912,0.9999571
TEST_37269,0.9999787
TEST_01265,0.99929035
TEST_42771,0.9938458
TEST_08278,0.9967173
TEST_44425,0.99995786
TEST_33352,0.9999631
TEST_08038,0.94545925
TEST_22890,0.99991983
TEST_42234,0.99995995
TEST_35606,0.9999572
TEST_36726,0.99996656
TEST_46433,0.99990594
TEST_15019,0.9999552
TEST_26326,0.9998509
TEST_33681,0.9999301
TEST_00861,0.9999196
TEST_24206,0.99987733
TEST_15337,0.99999356
TEST_02251,0.99999297
TEST_39095,0.99800354
TEST_09838,0.99969196
TEST_24525,0.9995872
TEST_26471,0.99999666
TEST_19916,0.9999954
TEST_43325,0.9989532
TEST_14891,0.9996722
TEST_04245,0.9999908
TEST_33706,0.97129273
TEST_09628,0.99954355
TEST_12292,0.9994664
TEST_25822,0.9979264
TEST_44669,0.9998771
TEST_43462,0.99979085
TEST_13469,0.9999921
TEST_47005,0.99946314
TEST_36866,0.9307245
TEST_13364,0.038321234
TEST_01310,0.9937892
TEST_42148,0.99994355
TEST_37845,0.9999692
TEST_06028,0.9998723
TEST_05824,0.999875
TEST_37876,0.99997216
TEST_49912,0.9999786
TEST_16915,0.99931675
TEST_21806,0.9999439
TEST_25412,0.9999593
TEST_21771,0.9997986
TEST_18766,5.2876585e-05
TEST_46042,0.9999997
TEST_13140,0.9999904
TEST_12794,0.99994737
TEST_35066,0.999749
TEST_20783,0.9999766
TEST_31389,0.9999859
TEST_09826,0.99996585
TEST_29151,0.9999578
TEST_17945,0.999701
TEST_33974,0.041203573
TEST_38582,0.99983454
TEST_49783,0.9981503
TEST_44255,0.999914
TEST_37692,0.9977951
TEST_12354,0.99942744
TEST_33842,0.9999769
TEST_07986,0.05846837
TEST_29617,0.9997515
TEST_18595,0.99987465
TEST_04147,0.9999985
TEST_34103,0.99997556
TEST_45129,0.9998896
TEST_29912,0.99988407
TEST_23928,5.8019536e-06
TEST_49797,0.99972713
TEST_17329,0.999996
TEST_27275,0.99999034
TEST_30308,0.9998642
TEST_31236,0.9845051
TEST_19069,0.99976766
TEST_20144,3.1714356e-07
TEST_19598,0.9999173
TEST_06873,0.018269753
TEST_13495,0.9991938
TEST_10081,0.9999853
TEST_44343,0.9999434
TEST_31896,0.9996993
TEST_32841,0.999952
TEST_48228,0.99997777
TEST_07949,0.99995995
TEST_34827,0.99993426
TEST_11504,0.99985284
TEST_13770,0.99947697
TEST_19712,0.9999157
TEST_24064,0.9999973
TEST_05910,0.03939818
TEST_22279,0.97370905
TEST_32654,0.9997714
TEST_14198,0.9994058
TEST_16684,0.9999837
TEST_04327,0.99991333
TEST_11820,0.99998266
TEST_13331,0.9894032
TEST_29743,0.9999888
TEST_16786,0.99998593
TEST_04649,0.9760687
TEST_07381,0.9994966
TEST_16521,0.99992883
TEST_40516,0.082965836
TEST_45049,0.99999076
TEST_14482,0.9993417
TEST_24626,0.9998958
TEST_21096,0.99999094
TEST_33456,0.9999642
TEST_19924,0.9999761
TEST_05238,0.9999423
TEST_42257,0.537315
TEST_38451,0.999934
TEST_35431,0.9997986
TEST_13736,0.9999268
TEST_05646,0.99998724
TEST_19542,0.99949574
TEST_33529,0.9999599
TEST_10128,0.9999657
TEST_18680,0.9999962
TEST_02547,0.9990908
TEST_17015,0.99999744
TEST_00746,0.99999946
TEST_10819,1.838794e-05
TEST_28928,0.9999985
TEST_29973,0.99984956
TEST_14269,0.99870026
TEST_29571,0.9999997
TEST_01411,0.9999883
TEST_06390,0.0015687407
TEST_29266,0.9999916
TEST_13468,0.99996156
TEST_20217,0.9969438
TEST_00901,0.9984886
TEST_32909,0.9998948
TEST_05941,0.99999344
TEST_11633,0.9998961
TEST_10980,0.9999968
TEST_11984,0.99830633
TEST_18338,0.9993022
TEST_14608,0.99989486
TEST_26008,0.99999964
TEST_40275,0.9999685
TEST_32885,0.9986623
TEST_22471,0.99997145
TEST_21911,0.9968215
TEST_34407,0.99936146
TEST_11894,0.99987775
TEST_17461,0.9994441
TEST_15154,0.9456702
TEST_26872,0.9994024
TEST_09184,0.99998146
TEST_04907,0.99993485
TEST_31464,0.030858755
TEST_00928,0.9993757
TEST_26365,0.9308362
TEST_33926,0.99977434
TEST_49317,0.9999978
TEST_37123,0.01213032
TEST_07993,0.9997182
TEST_20174,1.04242845e-05
TEST_03560,0.9999798
TEST_44058,0.15960887
TEST_09240,0.054859843
TEST_14543,0.99998134
TEST_25727,0.9999787
TEST_29094,0.0028924404
TEST_41550,0.9999889
TEST_35433,0.98272276
TEST_25255,0.9999955
TEST_21330,0.99999213
TEST_08436,0.9998994
TEST_45511,7.5767474e-07
TEST_25981,0.99948156
TEST_45307,0.99944216
TEST_41738,0.99999875
TEST_02882,0.9999325
TEST_33978,0.9999981
TEST_43313,0.9998453
TEST_29610,0.9998608
TEST_15712,0.99940866
TEST_44085,0.9999793
TEST_32451,0.99999535
TEST_39386,0.9979376
TEST_28645,4.960568e-08
TEST_17579,0.99922407
TEST_41579,0.9999655
TEST_25341,0.9999965
TEST_22318,0.9999789
TEST_08445,0.9989179
TEST_19977,0.9672673
TEST_40856,0.99749
TEST_33132,0.9997335
TEST_38814,0.99875706
TEST_14043,0.9998833
TEST_23205,0.99999595
TEST_37408,1.5919538e-06
TEST_46327,0.99994826
TEST_16693,0.9999877
TEST_17690,4.4749444e-07
TEST_27503,0.9999135
TEST_31845,0.99995
TEST_43125,0.9817709
TEST_19117,0.26720577
TEST_07101,0.9919372
TEST_40329,0.99726963
TEST_45886,0.9999938
TEST_37923,0.9998124
TEST_43795,0.99999017
TEST_05675,0.9998524
TEST_38577,0.999537
TEST_18389,0.6294575
TEST_16489,0.999327
TEST_42455,0.00039271
TEST_08361,0.999808
TEST_19469,0.99985653
TEST_08126,0.9998716
TEST_44165,0.9999797
TEST_36439,1.7779817e-07
TEST_16367,0.9995616
TEST_02136,0.9991761
TEST_06118,0.99997914
TEST_05452,0.99969965
TEST_34038,0.9999806
TEST_36495,0.98556685
TEST_44092,0.9999284
TEST_44715,0.99982136
TEST_03676,0.9999974
TEST_48445,0.999852
TEST_14297,0.99997824
TEST_06708,0.9996808
TEST_36096,0.9994899
TEST_32236,0.99991184
TEST_47797,0.9998025
TEST_16256,0.9999676
TEST_15320,0.008362177
TEST_28362,0.99990356
TEST_10182,0.99980897
TEST_23842,0.99989253
TEST_33093,0.6875607
TEST_25785,0.9999392
TEST_10573,0.9999984
TEST_11063,0.9999993
TEST_03405,0.9998934
TEST_40497,0.99963075
TEST_11630,0.99969697
TEST_44391,0.9997059
TEST_16042,0.9999895
TEST_28243,0.9884168
TEST_36107,0.9999865
TEST_02307,0.9993868
TEST_24144,0.99972236
TEST_18148,0.99984604
TEST_40602,0.99972796
TEST_23240,0.99994993
TEST_14647,0.99999344
TEST_15817,0.99890435
TEST_08242,0.9998511
TEST_30002,0.999266
TEST_45491,0.9998354
TEST_30240,0.9999963
TEST_24202,0.81088567
TEST_13969,0.9998493
TEST_39685,0.9999867
TEST_47025,0.9969823
TEST_40815,0.9896494
TEST_11937,0.9999252
TEST_31675,0.99979234
TEST_06687,0.9999926
TEST_08147,0.9999591
TEST_04118,0.99999475
TEST_02826,0.99998015
TEST_01821,0.99999475
TEST_01493,0.99999183
TEST_06371,0.99997777
TEST_28985,0.9996789
TEST_33099,0.4939965
TEST_26811,0.99991006
TEST_35059,0.041199278
TEST_32021,0.99995905
TEST_48869,0.99983907
TEST_25781,0.026796274
TEST_40159,3.8347002e-07
TEST_14599,0.82762694
TEST_08858,0.99999964
TEST_26047,0.9997916
TEST_05780,0.9999727
TEST_03141,0.9999928
TEST_34484,0.99987346
TEST_40921,0.034098584
TEST_15942,0.9995776
TEST_22537,0.99993706
TEST_25693,0.02679374
TEST_37465,0.005681334
TEST_26446,0.004299241
TEST_06324,0.99984455
TEST_49073,0.99982566
TEST_28533,0.0101284385
TEST_04699,0.99991196
TEST_46454,0.9999606
TEST_10172,0.99984396
TEST_49822,0.99989796
TEST_04973,0.997607
TEST_16856,0.999993
TEST_37500,0.9998832
TEST_00239,0.9964466
TEST_00757,0.94780934
TEST_19650,0.09873511
TEST_08849,0.32072943
TEST_25814,0.9999995
TEST_12448,0.9999158
TEST_00436,0.9991744
TEST_35455,0.99979943
TEST_36102,0.99957037
TEST_29692,0.9995877
TEST_16554,0.9999452
TEST_14223,0.99997723
TEST_00168,0.9999999
TEST_44390,0.9999973
TEST_43010,0.9999281
TEST_04788,0.9986716
TEST_46275,0.9997955
TEST_48609,0.9999874
TEST_49089,0.9984964
TEST_11476,0.99973214
TEST_16424,0.99998146
TEST_42980,0.9995665
TEST_26885,0.99988186
TEST_47967,0.9999694
TEST_00091,0.0025042028
TEST_20025,0.9997476
TEST_43721,0.99999744
TEST_44955,0.9999487
TEST_14033,0.00092087325
TEST_05512,0.99958366
TEST_36223,0.9879219
TEST_07097,0.99999213
TEST_48741,0.99999565
TEST_48057,0.04040509
TEST_46584,0.99999255
TEST_22876,0.99992317
TEST_38793,0.99924785
TEST_39724,0.99853706
TEST_47690,0.9103139
TEST_19509,0.021197775
TEST_34191,0.9999821
TEST_39440,0.9999969
TEST_34244,0.99989593
TEST_34559,0.99996656
TEST_14534,0.9998263
TEST_07462,1.4771713e-05
TEST_47621,1.8508525e-05
TEST_43480,0.9986438
TEST_39848,0.99965405
TEST_01496,0.99172366
TEST_48112,0.9997221
TEST_49210,0.9999713
TEST_32958,2.609103e-06
TEST_20215,0.990001
TEST_18879,0.99997246
TEST_16047,0.92886007
TEST_20200,0.99987006
TEST_42777,0.9999054
TEST_40450,0.99998516
TEST_00520,5.2265725e-05
TEST_32008,0.99997413
TEST_46599,0.9997831
TEST_26644,0.99823016
TEST_47340,0.9999924
TEST_01416,0.99997616
TEST_35908,0.99999905
TEST_46864,0.9998093
TEST_40684,0.9999293
TEST_34420,0.99983466
TEST_28831,0.9999809
TEST_40994,0.9999678
TEST_00684,0.74297786
TEST_04269,0.9999827
TEST_28711,0.9999868
TEST_30540,0.99981236
TEST_02318,0.8065021
TEST_18317,0.9999525
TEST_35361,0.99999934
TEST_00791,0.9999451
TEST_05011,0.9982701
TEST_14161,0.99996275
TEST_36289,0.9998542
TEST_39637,0.9997063
TEST_30347,0.99990636
TEST_01600,0.9995921
TEST_31662,0.99995583
TEST_35595,2.133494e-07
TEST_36409,0.9997231
TEST_37538,0.9981781
TEST_45564,0.99998647
TEST_22710,0.9995366
TEST_01494,0.99984825
TEST_44704,0.99999255
TEST_09038,0.99923867
TEST_40608,0.99104017
TEST_14958,0.11302178
TEST_49833,0.99943054
TEST_26907,0.51571035
TEST_13632,0.9999983
TEST_24263,0.99938
TEST_39865,0.99814916
TEST_16789,0.9998789
TEST_35677,0.99497896
